PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
12 129679,0,New Building,Apartment Building,2012-02-29T00:00:00Z,2015-11-02T00:00:00Z,2016-11-16T00:00:00Z,Closed,M8Y,361.12,12 129679_0
12 135248,0,Building Additions/Alterations,Elementary School,2012-03-12T00:00:00Z,2012-09-25T00:00:00Z,2017-09-15T00:00:00Z,Closed,M3B,810,12 135248_0
12 140070,0,New Building,Apartment Building,2012-03-21T00:00:00Z,2014-11-06T00:00:00Z,NA,Inspection,M6S,578.4,12 140070_0
12 144517,0,New Building,Mixed Use/Res w Non Res,2012-03-28T00:00:00Z,2014-05-13T00:00:00Z,NA,Inspection,M6J,141,12 144517_0
12 146242,0,New Building,Recreational,2012-03-30T00:00:00Z,2014-03-20T00:00:00Z,2021-04-23T00:00:00Z,Closed,NA,726,12 146242_0
12 148129,0,New Building,Apartment Building,2012-04-03T00:00:00Z,2014-03-14T00:00:00Z,NA,Inspection,NA,1007,12 148129_0
12 154305,0,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,2012-04-16T00:00:00Z,2013-06-26T00:00:00Z,2014-09-25T00:00:00Z,Closed,M1L,473,12 154305_0
12 165641,0,New Building,Community Hall,2012-05-02T00:00:00Z,2013-03-21T00:00:00Z,NA,Inspection,NA,2000,12 165641_0
12 165641,2,New Building,Community Hall,2023-09-08T00:00:00Z,2023-11-16T00:00:00Z,NA,Revision Issued,NA,2239,12 165641_2
12 166355,0,New Building,Mixed Use/Res w Non Res,2012-05-03T00:00:00Z,2014-11-14T00:00:00Z,2016-10-18T00:00:00Z,Closed,M5A,4823,12 166355_0
12 166727,0,New Building,Mixed Use/Res w Non Res,2012-05-04T00:00:00Z,2014-05-30T00:00:00Z,2017-12-27T00:00:00Z,Closed,M4Y,118,12 166727_0
12 170167,0,New Building,Mixed Use/Res w Non Res,2012-05-09T00:00:00Z,2015-10-14T00:00:00Z,2016-10-14T00:00:00Z,Closed,M5A,1701.4,12 170167_0
12 171492,0,New Houses,SFD - Detached,2012-05-11T00:00:00Z,2012-05-31T00:00:00Z,2012-11-02T00:00:00Z,Closed,M5R,85,12 171492_0
12 174617,0,New Building,Office,2012-05-16T00:00:00Z,2013-03-07T00:00:00Z,2024-06-14T00:00:00Z,Closed,NA,1176.45,12 174617_0
12 174758,0,New Building,Apartment Building,2012-05-16T00:00:00Z,2014-01-15T00:00:00Z,2015-01-26T00:00:00Z,Closed,M8X,568,12 174758_0
12 176280,0,New Building,Mixed Use/Res w Non Res,2012-05-18T00:00:00Z,2013-05-24T00:00:00Z,NA,Inspection,M5T,1773.5,12 176280_0
12 180974,0,New Building,Mixed Use/Res w Non Res,2012-05-28T00:00:00Z,2014-07-07T00:00:00Z,NA,Inspection,M5V,350.7,12 180974_0
12 183901,0,New Building,Mixed Use/Res w Non Res,2012-05-31T00:00:00Z,2013-09-18T00:00:00Z,NA,Inspection,M2K,477,12 183901_0
12 185147,0,New Building,Mixed Use/Res w Non Res,2012-06-01T00:00:00Z,2014-01-29T00:00:00Z,2018-07-30T00:00:00Z,Closed,M5R,114,12 185147_0
12 200240,0,New Building,Apartment Building,2012-06-26T00:00:00Z,2014-11-06T00:00:00Z,NA,Inspection,NA,407,12 200240_0
12 201776,0,New Building,Apartment Building,2012-06-27T00:00:00Z,2014-03-27T00:00:00Z,NA,Inspection,M5P,637,12 201776_0
12 203332,0,New Building,University,2012-06-29T00:00:00Z,2013-06-28T00:00:00Z,2015-01-30T00:00:00Z,Closed,M5S,1080,12 203332_0
12 204706,0,New Building,Apartment Building,2012-07-04T00:00:00Z,2015-04-09T00:00:00Z,NA,Inspection,NA,1287.6,12 204706_0
12 207842,0,New Building,Indoor Swimming Pool,2012-07-09T00:00:00Z,2013-10-29T00:00:00Z,2014-12-12T00:00:00Z,Closed,NA,60,12 207842_0
12 209746,0,New Building,Mixed Use/Res w Non Res,2012-07-11T00:00:00Z,2015-08-24T00:00:00Z,2015-09-03T00:00:00Z,Closed,M6J,183,12 209746_0
12 211627,0,Building Additions/Alterations,Industrial,2012-07-16T00:00:00Z,2013-02-01T00:00:00Z,NA,Inspection,M6M,11773,12 211627_0
12 213264,0,New Building,Other,2012-07-17T00:00:00Z,2013-07-05T00:00:00Z,2016-07-22T00:00:00Z,Closed,M4W,786,12 213264_0
12 213264,1,New Building,Other,2014-02-05T00:00:00Z,2014-10-02T00:00:00Z,2016-07-22T00:00:00Z,Closed,M4W,764,12 213264_1
12 219269,0,New Building,Mixed Use/Res w Non Res,2012-07-26T00:00:00Z,2015-04-14T00:00:00Z,NA,Inspection,NA,1081,12 219269_0
12 221439,0,New Building,Mixed Use/Res w Non Res,2012-07-31T00:00:00Z,2015-03-05T00:00:00Z,2019-04-03T00:00:00Z,Closed,M5V,473,12 221439_0
12 223573,0,New Building,Mixed Use/Res w Non Res,2012-08-02T00:00:00Z,2013-12-17T00:00:00Z,NA,Inspection,M8V,387,12 223573_0
12 230546,0,New Building,Multiple Use/Non Residential,2012-08-16T00:00:00Z,2012-12-10T00:00:00Z,2015-09-23T00:00:00Z,Closed,M8Z,790,12 230546_0
12 233929,0,New Building,Apartment Building,2012-08-22T00:00:00Z,2014-09-22T00:00:00Z,2016-07-08T00:00:00Z,Closed,M1R,1519,12 233929_0
12 235082,0,New Building,Mixed Use/Res w Non Res,2012-08-24T00:00:00Z,2013-08-09T00:00:00Z,2017-10-03T00:00:00Z,Closed,NA,587,12 235082_0
12 236480,0,New Building,Industrial,2012-08-27T00:00:00Z,2013-04-17T00:00:00Z,NA,Inspection,M9L,2459,12 236480_0
12 246001,0,New Building,Mixed Use/Res w Non Res,2012-09-13T00:00:00Z,2014-09-04T00:00:00Z,NA,Inspection,M5V,501.75,12 246001_0
12 246672,0,Small Residential Projects,SFD - Detached,2012-09-14T00:00:00Z,2012-10-04T00:00:00Z,2012-12-20T00:00:00Z,Closed,M2N,53.6,12 246672_0
12 260027,0,New Building,Library,2012-10-09T00:00:00Z,2013-05-09T00:00:00Z,NA,Inspection,M1P,814,12 260027_0
12 260121,0,New Building,Retail Mall/Plaza,2012-10-09T00:00:00Z,2013-04-17T00:00:00Z,2025-08-14T00:00:00Z,Closed,M3J,2270,12 260121_0
12 260361,0,New Building,Apartment Building,2012-10-10T00:00:00Z,2014-05-21T00:00:00Z,2016-08-22T00:00:00Z,Closed,NA,712,12 260361_0
12 261353,0,New Building,Apartment Building,2012-10-11T00:00:00Z,2014-01-29T00:00:00Z,NA,Inspection,M4Y,392,12 261353_0
12 265687,0,Building Additions/Alterations,Retail Store,2012-10-19T00:00:00Z,2013-06-28T00:00:00Z,NA,Inspection,M8Z,196.3,12 265687_0
12 266823,0,New Building,Mixed Use/Res w Non Res,2012-10-23T00:00:00Z,2015-08-04T00:00:00Z,NA,Inspection,M5V,1132,12 266823_0
12 275376,0,Building Additions/Alterations,Industrial,2012-11-07T00:00:00Z,2013-03-04T00:00:00Z,2017-04-11T00:00:00Z,Closed,M3H,1992,12 275376_0
12 278080,0,Building Additions/Alterations,Retail Store,2012-11-13T00:00:00Z,2013-09-30T00:00:00Z,NA,Inspection,M9C,14306,12 278080_0
12 283532,0,New Building,Apartment Building,2012-11-22T00:00:00Z,2017-12-11T00:00:00Z,NA,Inspection,M6J,447,12 283532_0
12 292665,0,Building Additions/Alterations,Warehouse,2012-12-12T00:00:00Z,2015-03-06T00:00:00Z,NA,Inspection,M9L,3519,12 292665_0
12 296413,0,New Building,Apartment Building,2012-12-20T00:00:00Z,2016-06-08T00:00:00Z,2018-01-23T00:00:00Z,Closed,NA,760,12 296413_0
12 296537,0,New Building,Mixed Use/Res w Non Res,2012-12-20T00:00:00Z,2014-09-30T00:00:00Z,NA,Inspection,M6H,100,12 296537_0
12 296723,0,New Building,Apartment Building,2012-12-20T00:00:00Z,2014-04-15T00:00:00Z,2016-02-18T00:00:00Z,Closed,M4P,620.9,12 296723_0
12 296750,0,Building Additions/Alterations,Multiple Use/Non Residential,2012-12-20T00:00:00Z,2013-11-18T00:00:00Z,2017-01-17T00:00:00Z,Closed,M5H,236,12 296750_0
12 296759,0,Building Additions/Alterations,Office,2012-12-20T00:00:00Z,2013-10-15T00:00:00Z,2018-11-06T00:00:00Z,Closed,M5V,1157.33,12 296759_0
13 108330,0,New Building,Apartment Building,2013-01-18T00:00:00Z,2014-09-26T00:00:00Z,2016-05-02T00:00:00Z,Closed,NA,534,13 108330_0
13 111792,0,New Building,Apartment Building,2013-01-28T00:00:00Z,2016-08-18T00:00:00Z,2022-02-08T00:00:00Z,Closed,NA,752,13 111792_0
13 119998,0,New Building,Multiple Use/Non Residential,2013-02-14T00:00:00Z,2014-06-12T00:00:00Z,NA,Inspection,NA,574,13 119998_0
13 122221,0,New Building,Motel/Hotel,2013-02-20T00:00:00Z,2014-09-08T00:00:00Z,NA,Inspection,M6K,4356,13 122221_0
13 122967,0,Building Additions/Alterations,Multiple Use/Non Residential,2013-02-21T00:00:00Z,2013-04-02T00:00:00Z,2017-01-09T00:00:00Z,Closed,M5H,229.86,13 122967_0
13 123611,0,New Building,Mixed Use/Res w Non Res,2013-02-22T00:00:00Z,2014-07-21T00:00:00Z,2018-10-11T00:00:00Z,Closed,NA,492,13 123611_0
13 124990,0,New Building,Mixed Use/Res w Non Res,2013-02-26T00:00:00Z,2014-01-29T00:00:00Z,NA,Inspection,M6P,1113,13 124990_0
13 127050,0,New Houses,Stacked Townhouses,2013-03-01T00:00:00Z,2014-12-18T00:00:00Z,NA,Inspection,M4L,123,13 127050_0
13 127053,0,New Houses,Stacked Townhouses,2013-03-01T00:00:00Z,2014-12-18T00:00:00Z,NA,Inspection,M4L,122,13 127053_0
13 131614,0,New Building,Mixed Use/Res w Non Res,2013-03-12T00:00:00Z,2016-04-05T00:00:00Z,NA,Inspection,NA,340.96999999999997,13 131614_0
13 133841,0,New Building,Other,2013-03-15T00:00:00Z,2014-04-16T00:00:00Z,2019-05-14T00:00:00Z,Closed,M1E,746,13 133841_0
13 137731,0,New Building,Retail Store,2013-03-20T00:00:00Z,2014-04-16T00:00:00Z,NA,Inspection,M4G,1348,13 137731_0
