PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
11 331561,1,Mixed Use/Res w Non Res,2015-04-02T00:00:00Z,2016-05-20T00:00:00Z,2025-02-27T00:00:00Z,Closed,M5V,303.5,FALSE,11 331561_1,M5V,303.5
12 105190,0,Mixed Use/Res w Non Res,2012-01-12T00:00:00Z,2014-07-28T00:00:00Z,NA,Inspection,M5V,36.5,FALSE,12 105190_0,M5V,36.5
12 106788,0,Club,2012-01-16T00:00:00Z,2012-06-05T00:00:00Z,2015-03-09T00:00:00Z,Closed,M4N,184.9,FALSE,12 106788_0,M4N,184.9
12 107739,0,Mixed Use/Res w Non Res,2012-01-18T00:00:00Z,2014-06-11T00:00:00Z,NA,Inspection,M9N,388.54,FALSE,12 107739_0,M9N,388.54
12 109059,0,Library,2012-01-20T00:00:00Z,2012-08-30T00:00:00Z,NA,Inspection,NA,408.5,FALSE,12 109059_0,NA,408.5
12 109230,0,Multiple Use/Non Residential,2012-01-20T00:00:00Z,2012-07-30T00:00:00Z,2013-04-25T00:00:00Z,Closed,NA,243,FALSE,12 109230_0,NA,243
12 109234,0,Apartment Building,2012-01-20T00:00:00Z,2013-09-17T00:00:00Z,2015-01-22T00:00:00Z,Closed,M8W,397,FALSE,12 109234_0,M8W,397
12 113376,0,Apartment Building,2012-01-27T00:00:00Z,2012-12-18T00:00:00Z,NA,Inspection,M5A,227.29,FALSE,12 113376_0,M5A,227.29
12 114933,0,Mixed Use/Res w Non Res,2012-01-31T00:00:00Z,2013-11-26T00:00:00Z,2019-01-23T00:00:00Z,Closed,NA,1827.57,FALSE,12 114933_0,NA,1827.57
12 117088,0,Mixed Use/Res w Non Res,2012-02-03T00:00:00Z,2013-07-17T00:00:00Z,NA,Inspection,M6K,2014,FALSE,12 117088_0,M6K,2014
12 119084,0,Apartment Building,2012-02-08T00:00:00Z,2016-04-01T00:00:00Z,2020-11-04T00:00:00Z,Closed,M4N,342,FALSE,12 119084_0,M4N,342
12 124662,0,Apartment Building,2012-02-17T00:00:00Z,2015-06-08T00:00:00Z,2017-08-11T00:00:00Z,Closed,M5A,252,FALSE,12 124662_0,M5A,252
12 124719,0,Retail Store,2012-02-17T00:00:00Z,2014-05-22T00:00:00Z,NA,Inspection,NA,1317,FALSE,12 124719_0,NA,1317
12 129679,0,Apartment Building,2012-02-29T00:00:00Z,2015-11-02T00:00:00Z,2016-11-16T00:00:00Z,Closed,M8Y,361.12,FALSE,12 129679_0,M8Y,361.12
12 135248,0,Elementary School,2012-03-12T00:00:00Z,2012-09-25T00:00:00Z,2017-09-15T00:00:00Z,Closed,M3B,810,FALSE,12 135248_0,M3B,810
12 140070,0,Apartment Building,2012-03-21T00:00:00Z,2014-11-06T00:00:00Z,NA,Inspection,M6S,578.4,FALSE,12 140070_0,M6S,578.4
12 144517,0,Mixed Use/Res w Non Res,2012-03-28T00:00:00Z,2014-05-13T00:00:00Z,NA,Inspection,M6J,141,FALSE,12 144517_0,M6J,141
12 146242,0,Recreational,2012-03-30T00:00:00Z,2014-03-20T00:00:00Z,2021-04-23T00:00:00Z,Closed,NA,726,FALSE,12 146242_0,NA,726
12 148129,0,Apartment Building,2012-04-03T00:00:00Z,2014-03-14T00:00:00Z,NA,Inspection,NA,1007,FALSE,12 148129_0,NA,1007
