X_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ECO_ROOF
205,13 238027,0,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,909,KIPLING,AVE, ,M8Z,2013-09-18,2016-08-16,2019-01-16,Closed,"Construct new 2 storey north-west addition, 3 storey south addition and interior alteration for new trade school.(Proposal to demolish north-west and south portion of existing building to come after this permit)",1852,0,False
206,13 238466,0,New Building,Parking Garage,99,THE DONWAY, ,W,   ,2013-09-19,2016-01-05,,Permit Issued,"Parking garage -   2 - 11 storey residential apartment buildings and a 4 storey podium containing 297 dwelling units,  one retail unit on the P1 level above three levels of underground parking - Flaire Condominiums",1368.3,0,False
207,13 238504,0,New Building,Apartment Building,99,THE DONWAY, ,W,   ,2013-09-19,2016-01-05,,Inspection,"11 storey residential building and a 4 storey podium containing 207 dwelling units, a retail unit on P1 level and three levels of underground parking - South Tower - Flaire Condominiums. See permit No. 13-238466 for 3 levels under ground parking",1368.3,0,False
208,13 238679,0,New Building,Apartment Building,99,THE DONWAY, ,W,   ,2013-09-19,2016-01-18,,Inspection,11 storey residential building containing 90 dwelling units and three levels of underground parking - North Tower - Flaire Condominiums. Lead permit  (South tower) 13-238504.,1368,0,False
209,13 238779,0,New Building,Multiple Use/Non Residential,5298,DUNDAS,ST,W,M9B,2013-09-19,2014-10-30,2017-10-03,Closed,Proposal to construct a 5 storey building (ground floor to contain a Bank and an office and above floors will contain office space).,427,0,False
210,13 239910,0,New Building,Mixed Use/Res w Non Res,1093,QUEEN,ST,W,M6J,2013-09-23,2015-11-10,2018-11-02,Closed,"Proposal to construct a 9 sty condo with 134 units, ground floor commercial, and 2 levels of underground parking.",280.6,0,False
211,13 240040,0,New Building,Mixed Use/Res w Non Res,525,ADELAIDE,ST,W,M5V,2013-09-23,2017-07-04,2026-02-06,Closed,"Proposal to construct a 17 sty condo with 433 residential units, ground floor commercial, and 4 levels of below grade parking including commercial parking garage at P1.  Portion of lot to be conveyed for publicly owned park and the extension of Brown's lane, both of which would be accomplished through stata conveyances.Included is an above grade LDA registered on title and attached to the permit record respecting the easterly face of the building as projected to Adelaide Place. ""MUSEE CONDO'S"".",1040,NA,False
212,13 242422,0,New Building,Mixed Use/Res w Non Res,431,RICHMOND,ST,W,M5V,2013-09-26,2016-03-24,,Inspection,"Proposal to construct a new 17 sty condo with 171 residential units, ground floor commercial, and 3 levels of below grade parking.  ""Fabrik"".",252.28,0,False
213,13 243000,0,New Building,Mixed Use/Res w Non Res,365,CHURCH,ST, ,M5B,2013-09-27,2016-10-07,2020-02-08,Closed,"Proposal to construct a new 31 sty condo with 387 residential units, commercial at grade, and 4 levels of below grade parking.",195.13,0,False
214,13 245084,0,New Building,Mixed Use/Res w Non Res,87,PETER,ST, ,   ,2013-10-02,2017-03-28,2021-03-22,Closed,"Proposal to construct a new 50 sty condo (49 sty residential + 1 sty mechanical) with 598 residential units, commercial at grade, and 3 levels of below grade parking.  ""Noir"".",495.0,0,False
